2013-05-11 00:18:59,949|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K548=I am pig548)
2013-05-11 00:18:59,962|INFO   |      dynamo.py|168|A, 165: put K549=I am pig549
2013-05-11 00:18:59,962|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K549=I am pig549)
2013-05-11 00:18:59,964|INFO   |      dynamo.py|228|A: store K549=I am pig549
2013-05-11 00:18:59,964|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K549=I am pig549)
2013-05-11 00:18:59,967|INFO   |      dynamo.py|248|A: written 1 copies of K549=I am pig549 so done
2013-05-11 00:18:59,967|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K549=I am pig549)
2013-05-11 00:18:59,974|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutReq(K549=I am pig549)
2013-05-11 00:19:00,008|INFO   |      dynamo.py|168|A, 166: put K551=I am pig551
2013-05-11 00:19:00,008|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K551=I am pig551)
2013-05-11 00:19:00,010|INFO   |      dynamo.py|228|A: store K551=I am pig551
2013-05-11 00:19:00,011|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K551=I am pig551)
2013-05-11 00:19:00,012|INFO   |      dynamo.py|248|A: written 1 copies of K551=I am pig551 so done
2013-05-11 00:19:00,012|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K551=I am pig551)
2013-05-11 00:19:00,017|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K551=I am pig551)
2013-05-11 00:19:00,026|INFO   |      dynamo.py|168|A, 167: put K552=I am pig552
2013-05-11 00:19:00,026|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K552=I am pig552)
2013-05-11 00:19:00,028|INFO   |      dynamo.py|228|A: store K552=I am pig552
2013-05-11 00:19:00,028|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K552=I am pig552)
2013-05-11 00:19:00,030|INFO   |      dynamo.py|248|A: written 1 copies of K552=I am pig552 so done
2013-05-11 00:19:00,030|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K552=I am pig552)
2013-05-11 00:19:00,034|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K552=I am pig552)
2013-05-11 00:19:00,045|INFO   |      dynamo.py|228|A: store K553=I am pig553
2013-05-11 00:19:00,045|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K553=I am pig553)
2013-05-11 00:19:00,062|INFO   |      dynamo.py|168|A, 168: put K554=I am pig554
2013-05-11 00:19:00,062|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K554=I am pig554)
2013-05-11 00:19:00,063|INFO   |      dynamo.py|228|A: store K554=I am pig554
2013-05-11 00:19:00,064|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K554=I am pig554)
2013-05-11 00:19:00,066|INFO   |      dynamo.py|248|A: written 1 copies of K554=I am pig554 so done
2013-05-11 00:19:00,066|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K554=I am pig554)
2013-05-11 00:19:00,070|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutReq(K554=I am pig554)
2013-05-11 00:19:00,097|INFO   |      dynamo.py|168|A, 169: put K556=I am pig556
2013-05-11 00:19:00,097|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K556=I am pig556)
2013-05-11 00:19:00,098|INFO   |      dynamo.py|228|A: store K556=I am pig556
2013-05-11 00:19:00,099|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K556=I am pig556)
2013-05-11 00:19:00,101|INFO   |      dynamo.py|248|A: written 1 copies of K556=I am pig556 so done
2013-05-11 00:19:00,101|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K556=I am pig556)
2013-05-11 00:19:00,107|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K556=I am pig556)
2013-05-11 00:19:00,118|INFO   |      dynamo.py|168|A, 170: put K557=I am pig557
2013-05-11 00:19:00,118|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K557=I am pig557)
2013-05-11 00:19:00,120|INFO   |      dynamo.py|228|A: store K557=I am pig557
2013-05-11 00:19:00,120|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K557=I am pig557)
2013-05-11 00:19:00,122|INFO   |      dynamo.py|248|A: written 1 copies of K557=I am pig557 so done
2013-05-11 00:19:00,122|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K557=I am pig557)
2013-05-11 00:19:00,126|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K557=I am pig557)
2013-05-11 00:19:00,167|INFO   |      dynamo.py|228|A: store K559=I am pig559
2013-05-11 00:19:00,167|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K559=I am pig559)
2013-05-11 00:19:00,176|INFO   |      dynamo.py|228|A: store K560=I am pig560
2013-05-11 00:19:00,176|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K560=I am pig560)
2013-05-11 00:19:00,212|INFO   |      dynamo.py|228|A: store K561=I am pig561
2013-05-11 00:19:00,212|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K561=I am pig561)
2013-05-11 00:19:00,266|INFO   |      dynamo.py|228|A: store K563=I am pig563
2013-05-11 00:19:00,266|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutRsp(K563=I am pig563)
2013-05-11 00:19:00,300|INFO   |      dynamo.py|168|A, 171: put K565=I am pig565
2013-05-11 00:19:00,300|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutReq(K565=I am pig565)
2013-05-11 00:19:00,306|INFO   |      dynamo.py|248|A: written 1 copies of K565=I am pig565 so done
2013-05-11 00:19:00,307|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K565=I am pig565)
2013-05-11 00:19:00,313|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K565=I am pig565)
2013-05-11 00:19:00,315|INFO   |      dynamo.py|228|A: store K565=I am pig565
2013-05-11 00:19:00,316|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K565=I am pig565)
2013-05-11 00:19:00,324|INFO   |      dynamo.py|168|A, 172: put K566=I am pig566
2013-05-11 00:19:00,325|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K566=I am pig566)
2013-05-11 00:19:00,326|INFO   |      dynamo.py|228|A: store K566=I am pig566
2013-05-11 00:19:00,327|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K566=I am pig566)
2013-05-11 00:19:00,328|INFO   |      dynamo.py|248|A: written 1 copies of K566=I am pig566 so done
2013-05-11 00:19:00,329|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K566=I am pig566)
2013-05-11 00:19:00,338|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K566=I am pig566)
2013-05-11 00:19:00,350|INFO   |      dynamo.py|168|A, 173: put K567=I am pig567
2013-05-11 00:19:00,351|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K567=I am pig567)
2013-05-11 00:19:00,354|INFO   |      dynamo.py|228|A: store K567=I am pig567
2013-05-11 00:19:00,355|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K567=I am pig567)
2013-05-11 00:19:00,357|INFO   |      dynamo.py|248|A: written 1 copies of K567=I am pig567 so done
2013-05-11 00:19:00,357|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K567=I am pig567)
2013-05-11 00:19:00,363|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutReq(K567=I am pig567)
2013-05-11 00:19:00,373|INFO   |      dynamo.py|160|put(K568=I am pig568) maps to ['127.0.0.1:29001', '127.0.0.1:29003']
2013-05-11 00:19:00,373|INFO   |   framework.py| 97|Enqueue(fwd) 127.0.0.1:29002->127.0.0.1:29001: ClientPut(K568=I am pig568)
2013-05-11 00:19:00,409|INFO   |      dynamo.py|228|A: store K569=I am pig569
2013-05-11 00:19:00,409|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K569=I am pig569)
2013-05-11 00:19:00,433|INFO   |      dynamo.py|228|A: store K570=I am pig570
2013-05-11 00:19:00,434|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K570=I am pig570)
2013-05-11 00:19:00,457|INFO   |      dynamo.py|228|A: store K571=I am pig571
2013-05-11 00:19:00,458|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K571=I am pig571)
2013-05-11 00:19:00,475|INFO   |      dynamo.py|228|A: store K572=I am pig572
2013-05-11 00:19:00,475|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K572=I am pig572)
2013-05-11 00:19:00,494|INFO   |      dynamo.py|228|A: store K573=I am pig573
2013-05-11 00:19:00,494|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K573=I am pig573)
